Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;09089356;201912-9010-09089356.pdf;Gerencianet Pagamentos do Brasil Ltda.;09089356000118;KPMG Auditores Independentes;Sem Ressalva;Não;Não;88872;13783;4563;66082;67138;75162;0;2075;65476;0;54440;9375;0;0;0;0;0.98;0.16;0.33;75162;0.85
2020-S1;2020;6;202006;09089356;202006-9010-09089356.pdf;Gerencianet Pagamentos do Brasil Ltda.;09089356000118;KPMG Auditores Independentes;Sem Ressalva;Sim;Não;115994;14352;235;90949;92312;40255;0;849;38466;0;-63799;10601;0;0;35;0;0.99;0.12;0.02;40255;0.94
2020-S2;2020;12;202012;09089356;202012-9010-09089356.pdf;Gerencianet S.A;09089356000118;KPMG Auditores Independentes;Sem Ressalva;Não;Não;165216;13753;967;143204;113820;90239;0;1721;86612;0;-66956;12868;0;0;75;0;1.26;0.08;0.07;90239;0.94
2021-S1;2021;6;202106;09089356;202106-9010-09089356.pdf;Gerencianet S.A;09089356000380;KPMG Auditores Independentes;Sem Ressalva;Não;Não;208555;19943;-488;184234;152851;54351;0;1369;52689;0;-1509;15091;0;2606;214;0;1.21;0.1;-0.02;54351;0.95
2021-S2;2021;12;202112;09089356;202112-9010-09089356.pdf;Gerencianet S.A.;09089356000380;KPMG Auditores Independentes Ltda;Sem Ressalva;Não;Não;249224;21970;1110;208729;187580;117557;0;6208;113667;0;3671;17850;0;794;271;2593;1.11;0.09;0.05;117557;0.92
2022-S1;2022;6;202206;09089356;202206-9010-09089356.pdf;Gerencianet S.A.;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;294045;33192;7862;221333;224884;74617;24520;8834;64760;83;9573;19285;8188;727;153;1921;0.98;0.11;0.24;50097;0.78
2022-S2;2022;12;202212;09089356;202212-9010-09089356.pdf;Gerencianet S/A;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;354192;36113;9116;276518;277015;149239;0;20957;139973;66;9423;20298;3755;1805;301;1549;1.0;0.1;0.25;149239;0.82
2023-S1;2023;6;202306;09089356;202306-9010-09089356.pdf;Efí S.A.;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;369896;38468;892;295807;284628;79693;23745;14849;79143;10;7669;20357;12262;2197;193;552;1.04;0.1;0.02;55948;0.84
2023-S2;2023;12;202312;09089356;202312-9010-09089356.pdf;Efí S.A. - Instituição de Pagamento;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;428569;41941;8172;360652;348613;167450;49072;30908;163506;13;26074;19664;7601;3932;48;40;1.03;0.1;0.19;118378;0.82
2024-S1;2024;6;202406;09089356;202406-9010-09089356.pdf;Efí S.A. – Instituição de Pagamento;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;505686;43767;7524;439512;426493;91235;22910;19622;87255;33;14182;18936;7835;5924;88;65;1.03;0.09;0.17;68325;0.79
2024-S2;2024;12;202412;09089356;202412-9010-09089356.pdf;Efí S.A. - Instituição de Pagamento;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;544123;56599;14268;463047;452634;190968;47553;43893;189245;60;5126;18134;7403;19985;95;77;1.02;0.1;0.25;143415;0.81
2025-S1;2025;6;202506;09089356;202506-9010-09089356.pdf;Efí S.A. - Instituição de Pagamento;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;610211;61477;7563;514169;514857;98863;15849;485;95161;87;7475;17258;2766;16042;188;296;1.0;0.1;0.12;83014;0.96
2025-S2;2025;12;202512;09089356;202512-9010-09089356.pdf;Efí S.A. - Instituição de Pagamento;09089356000380;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;676436;72687;25030;595220;564442;204364;29657;2381;188744;2769;24041;16192;11248;23480;418;474;1.05;0.11;0.34;174707;0.91
