Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;18236120;201912-9010-18236120.pdf;Nu Pagamentos S.A.;18236120000158;KPMG Auditores Independentes;Sem Ressalva;Não;Não;20453629;1001842;-312701;1965959;17310706;1042348;0;528868;1366689;747009;-612630;4475;2751320;1462744;84444;363161;0.11;0.05;-0.31;1042348;0.87
2020-S1;2020;6;202006;18236120;202006-9010-18236120.pdf;Nu Pagamentos S.A.;18236120000158;KPMG Auditores Independentes;Sem Ressalva;Não;Não;19282349;977279;-100010;1990350;16236175;901531;383119;1870292;467384;346243;330592;13796;2894309;1622919;85197;407709;0.12;0.05;-0.1;518412;0.17
2020-S2;2020;12;202012;18236120;202012-9010-18236120.pdf;Nu Pagamentos S.A.;18236120000158;KPMG Auditores Independentes;Sem Ressalva;Não;Não;27304527;1438281;-240372;10048717;22996797;2468888;1137503;1478071;1016428;593042;477231;27914;1116019;2420982;85608;463232;0.44;0.05;-0.17;1331385;0.26
2021-S1;2021;6;202106;18236120;202106-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes;Sem Ressalva;Não;Não;34858428;3234712;81247;11264283;28030399;2228219;904047;239401;1143283;306169;452084;32948;4153388;4420620;86507;628950;0.4;0.09;0.03;1324172;0.46
2021-S2;2021;12;202112;18236120;202112-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;51435186;3180546;-157073;22341571;38667516;5609554;3411924;782357;2113765;842244;295237;106859;7208721;10108190;88390;967260;0.58;0.06;-0.05;2197630;0.33
2022-S1;2022;6;202206;18236120;202206-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;58292119;3458649;58162;19594992;46929277;2846595;330715;3906829;1207876;692335;-2887003;177687;6724839;10273408;90519;1217820;0.42;0.06;0.02;2515880;0.18
2022-S2;2022;12;202212;18236120;202212-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;72952915;5994332;1040081;15912963;52513993;6377153;687698;8771857;2321941;1332072;-3580458;357007;15919942;19325900;94158;1237035;0.3;0.08;0.17;5689455;0.15
2023-S1;2023;6;202306;18236120;202306-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;68409244;8156967;1679687;14524822;50277786;3561439;337729;969153;1027337;856992;3065326;548435;8385604;16454426;19428;1392355;0.29;0.12;0.21;3223710;0.23
2023-S2;2023;12;202312;18236120;202312-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;103911135;11166981;4699069;21511602;68435475;7371310;2293135;9601587;2353871;2149552;-2217355;728940;26329009;31800780;35262;1763164;0.31;0.11;0.42;5078175;0.14
2024-S1;2024;6;202406;18236120;202406-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;92264932;14249213;4058067;3157522;71124681;4103310;394830;1246687;1503109;1199847;871696;706880;13365304;13835993;78817;2027314;0.04;0.15;0.28;3708480;0.28
2024-S2;2024;12;202412;18236120;202412-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;94467214;19055990;9528665;2776379;71739449;8733463;850862;2383293;2947612;2599889;1483201;852645;13849965;9503647;114493;2382907;0.04;0.2;0.5;7882601;0.27
2025-S1;2025;6;202506;18236120;202506-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;98961817;18737125;5922319;143185;75215232;4796965;0;1434660;2762617;2003905;142533;1673450;12566068;9830455;114607;2893154;0.0;0.19;0.32;4796965;0.44
2025-S2;2025;12;202512;18236120;202512-9010-18236120.pdf;Nu Pagamentos S.A. - Instituição de Pagamento;18236120000158;KPMG Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;115273843;23060025;12687320;971253;88552317;10311995;603496;3080418;5828302;3424338;-1291798;1738351;14980219;9311265;127265;2784844;0.01;0.2;0.55;9708499;0.44
