Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;08561701;201912-9010-08561701.pdf;PagSeguro Internet S.A.;08561701000101;ERNST & YOUNG Auditores Independentes S.S.;Com Ressalva;Não;Não;16038140;7486235;1381258;473233;7179656;3984920;2371085;133467;959169;156219;-1194624;513600;298053;3279355;281533;167255;0.07;0.47;0.18;1613835;0.23
2020-S1;2020;6;202006;08561701;202006-9010-08561701.pdf;PagSeguro Internet S.A.;08561701000101;PricewaterhouseCoopers;Com ressalva;Não;Não;16773277;7735798;625742;312168;3287976;1916169;1110780;86405;733018;69406;797530;651300;3577330;3863866;313565;164143;0.09;0.46;0.08;805389;0.37
2020-S2;2020;12;202012;08561701;202012-9010-08561701.pdf;PagSeguro Internet S.A.;08561701000101;PricewaterhouseCoopers;Com Ressalva;Não;Não;20595274;8408466;1267959;1506833;9134339;4681295;2378159;143737;1605461;416143;2238625;853733;4073747;515776;334988;188798;0.16;0.41;0.15;2303136;0.33
2021-S1;2021;6;202106;08561701;202106-9010-08561701.pdf;PagSeguro Internet S.A.;08561701000101;PricewaterhouseCoopers;Com Ressalva;Não;Não;21534019;8936938;528849;1378437;9301445;3070202;2239495;100504;1118164;220282;-495795;1039810;4257260;656709;346219;213623;0.1482;0.415;0.0592;830707;0.3527
2021-S2;2021;12;202112;08561701;202112-9010-08561701.pdf;PagSeguro Internet S.A.;08561701000101;PricewaterhouseCoopers;Com Ressalva;Não;Não;24359292;8535447;1109980;1490415;11599733;7651111;3874888;330875;2525511;354179;-657720;1306926;3727810;90895;366288;313866;0.13;0.35;0.13;3776223;0.32
2022-S1;2022;6;202206;08561701;202206-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Com Ressalva;Não;Não;26881440;8769203;491053;1240581;13369623;5905977;4608731;1316684;1342373;161762;786910;1548555;95401;161573;367801;460799;0.09;0.33;0.06;1297246;0.19
2022-S2;2022;12;202212;08561701;202212-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Com Ressalva;Não;Não;28218517;9292934;1050119;1107341;15150036;12775829;5350788;2605208;2772936;326823;3437494;1845272;430561;327314;387585;569370;0.07;0.33;0.11;7425041;0.18
2023-S1;2023;6;202306;08561701;202306-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;27837554;9809678;517732;1431004;13857178;6674652;2673005;1167934;1388414;152966;238057;2048479;15976;236724;405930;491011;0.1;0.35;0.05;4001647;0.18
2023-S2;2023;12;202312;08561701;202312-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;43366722;9127083;1134265;2160974;16762752;14125527;5728174;2383812;3014178;319161;-8383807;2216456;17465;308386;439485;453538;0.13;0.21;0.12;8397353;0.18
2024-S1;2024;6;202406;08561701;202406-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;52909347;9659178;544105;2064533;17765425;7345324;3265467;1567266;1791563;101048;-6958612;2375304;1175712;123260;461351;351022;0.12;0.18;0.06;4079857;0.2
2024-S2;2024;12;202412;08561701;202412-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;70181682;9785957;1023846;2640825;17650682;14642363;6934228;3766589;3866781;261126;-21136354;2562337;1232104;208753;503199;449512;0.15;0.14;0.1;7708135;0.21
2025-S1;2025;6;202506;08561701;202506-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;70008221;9791516;381757;5376473;15096553;7260965;4206662;-38005;2157070;98771;1065848;2684244;42361;37777422;94782;470979;0.36;0.14;0.04;3054303;0.3
2025-S2;2025;12;202512;08561701;202512-9010-08561701.pdf;PagSeguro Internet Instituição de Pagamento S.A.;08561701000101;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;73380594;5591013;793243;1210972;15923987;15619560;8452784;4653659;4210065;207800;4312252;2804210;32425;671505;106580;651693;0.076;0.0762;0.1419;7166776;0.2077
