Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;13140088;201912-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;Baker Tilly 4Partners Auditores Independentes S.S.;Sem Ressalva;Não;Não;205801;21229;-8010;170878;158869;36725;23426;9600;28672;0;-5244;3888;0;0;984;11683;1.08;0.1;-0.38;13299;0.62
2020-S1;2020;6;202006;13140088;202006-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;Baker Tilly 4Partners Auditores Independentes S.S.;Sem Ressalva;Não;Não;227101;13850;-7379;182710;170545;20315;16129;3561;17838;798;-2082;3774;0;0;760;15758;1.07;0.06;-0.53;4186;0.75
2020-S2;2020;12;202012;13140088;202012-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;Baker Tilly 4Partners Auditores Independentes S.S.;Sem Ressalva;Sim;Não;313362;4568;-16661;272971;255946;46642;34412;5232;37090;0;9672;4503;0;0;755;18168;1.07;0.01;-3.65;12230;0.71
2021-S1;2021;6;202106;13140088;202106-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;ERNST & YOUNG Auditores Independentes S.S.;Sem Ressalva;Sim;Não;403931;12940;-10157;359652;351340;29768;19846;3205;22828;268;94924;4295;0;0;777;18168;1.02;0.03;-0.78;9922;0.69
2021-S2;2021;12;202112;13140088;202112-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;ERNST & YOUNG Auditores Independentes S.S.;Sem Ressalva;Sim;Não;582749;7196;-34723;496574;492232;63615;45393;13215;62769;1277;19177;3973;0;0;186;18168;1.01;0.01;-4.83;18222;0.82
2022-S1;2022;6;202206;13140088;202206-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;ERNST & YOUNG Auditores Independentes S.S.;Sem Ressalva;Sim;Não;393893;63370;-33254;337685;315838;38634;30785;10970;47566;0;-71615;3387;0;0;775;18168;1.07;0.16;-0.52;7849;0.96
2022-S2;2022;12;202212;13140088;202212-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;ERNST & YOUNG Auditores Independentes S.S. Ltda;Sem Ressalva;Não;Não;448790;49366;-47308;694376;748316;84201;60545;30478;92090;3992;-115772;2823;470;507;2012;18168;0.93;0.11;-0.96;23656;0.8
2023-S1;2023;6;202306;13140088;202306-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;ERNST & YOUNG Auditores Independentes S/S Ltda.;Sem Ressalva;Não;Não;284028;34206;-15159;148875;224181;47449;28168;14005;44563;6150;-10161;3658;8280;2880;618;18168;0.66;0.12;-0.44;19281;0.73
2023-S2;2023;12;202312;13140088;202312-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;331317;29885;-29323;180183;251948;77739;21881;40490;83815;6485;-10222;1764;39;0;633;18168;0.72;0.09;-0.98;55858;0.71
2024-S1;2024;6;202406;13140088;202406-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;588869;59367;-21780;365557;485926;32123;17110;11945;41378;2351;-47945;2977;75;2160;814;18168;0.75;0.1;-0.37;15013;0.94
2024-S2;2024;12;202412;13140088;202412-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;582873;35599;-45514;88366;504990;71001;31104;27579;89081;3140;-40162;7306;791;3722;969;18168;0.17;0.06;-1.28;39897;0.9
2025-S1;2025;6;202506;13140088;202506-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;867606;21715;-13624;582093;613914;58399;9373;17114;71446;0;11239;13894;2001;105848;1422;18168;0.95;0.03;-0.63;49026;0.95
2025-S2;2025;12;202512;13140088;202512-9010-13140088.pdf;Acesso Soluções de Pagamento S.A.;13140088000199;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;656166;24216;-11123;400782;536697;143754;21602;55598;144607;12310;35983;17563;22272;35627;1271;18168;0.75;0.04;-0.46;122152;0.73
