Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;10878448;201912-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers;Sem Ressalva;Sim;Não;1561426;86005;-58931;805574;417317;307538;149520;25066;118091;1016;-37043;38;52913;1011850;548;0;1.93;0.06;-0.69;158018;0.36
2020-S1;2020;6;202006;10878448;202006-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers;Sem Ressalva;Não;Não;1605925;72264;-23737;83408;504413;177202;80076;528;57583;10878;76218;28;237945;992692;395;0;0.17;0.04;-0.33;97126;0.32
2020-S2;2020;12;202012;10878448;202012-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes;Sem Ressalva;Não;Não;2121973;51969;-55166;802125;718789;427992;236684;4048;154569;315;-488141;20;337338;1300258;441;0;1.12;0.02;-1.06;191308;0.36
2021-S1;2021;6;202106;10878448;202106-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes;Sem Ressalva;Não;Não;2564928;51216;-60805;79034;1132419;306483;214308;13398;132627;0;-105204;10;278024;1295895;758;0;0.07;0.02;-1.19;92175;0.41
2021-S2;2021;12;202112;10878448;202112-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;4336267;122632;-139430;1356106;2051361;715288;532750;38351;282224;31442;-1050748;4;313783;2010977;643;0;0.66;0.03;-1.14;182538;0.37
2022-S1;2022;6;202206;10878448;202206-9010-10878448.pdf;PayPal do Brasil Serviços de Pagamentos Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;4965943;83280;-122254;1725837;2249938;530895;515733;88047;92069;3783;-332689;1;295209;2515852;696;0;0.77;0.02;-1.47;15162;0.15
2022-S2;2022;12;202212;10878448;202212-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers;Sem Ressalva;Não;Não;6142205;141036;-375341;1234084;3855430;1206057;1241619;137822;197840;32986;-178707;0;341934;2063474;593;0;0.32;0.02;-2.66;-35562;0.15
2023-S1;2023;6;202306;10878448;202306-9010-10878448.pdf;PAYPAL DO BRASIL INSTITUIÇÃO DE PAGAMENTO LTDA.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;6469451;581316;-150789;1251110;3962838;697910;651199;60547;68332;1089;155266;0;329524;1863235;742;0;0.32;0.09;-0.26;46711;0.09
2023-S2;2023;12;202312;10878448;202312-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;6920389;512432;-229032;749296;4493874;1457351;1341077;106375;137352;9126;-316275;0;481785;1849219;818;0;0.1667;0.074;-0.447;116274;0.0878
2024-S1;2024;6;202406;10878448;202406-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;5814926;525211;-319;426732;3262189;592774;447225;54986;77115;0;99461;0;781539;1870673;977;0;0.13;0.09;-0.001;145549;0.12
2024-S2;2024;12;202412;10878448;202412-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;4227367;528645;-5372;467699;2024376;1152620;836235;76058;199891;0;108300;0;578942;1585908;1197;0;0.23;0.13;-0.01;316385;0.16
2025-S1;2025;6;202506;10878448;202506-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;2664167;545566;8964;407476;851388;464268;233848;17963;84981;0;856764;0;177154;1167176;874;0;0.48;0.2;0.02;230420;0.18
2025-S2;2025;12;202512;10878448;202512-9010-10878448.pdf;PayPal do Brasil Instituição de Pagamento Ltda.;10878448000166;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;2787077;571639;29235;304401;736689;871709;414189;53230;183651;59345;246020;0;288763;1388374;792;0;0.41;0.21;0.05;457520;0.2
