Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;01027058;201912-9010-01027058.pdf;CIELO S.A.;01027058000191;KPMG Auditores Independentes;Sem Ressalva;Não;Não;93517087;9467354;1580151;8125054;62805144;5300680;2637562;541383;1215665;306772;393787;562734;9084689;9906443;1806874;907991;0.13;0.1;0.17;2663118;0.21
2020-S1;2020;6;202006;01027058;202006-9010-01027058.pdf;Cielo S.A.;01027058000191;KPMG Auditores Independentes;Sem Ressalva;Não;Não;76891328;12798707;143703;6903015;47672588;5280956;3960070;95804;831206;277222;3728979;10754558;0;0;1801582;1068216;0.14;0.17;0.01;1320886;0.15
2020-S2;2020;12;202012;01027058;202012-9010-01027058.pdf;Cielo S.A.;01027058000191;KPMG Auditores Independentes;Sem Ressalva;Não;Não;90530589;12605712;631513;3745967;61765044;11186013;8071148;121486;1655607;511854;3244379;10442755;29907;0;1838719;1159755;0.06;0.14;0.05;3114865;0.15
2021-S1;2021;6;202106;01027058;202106-9010-01027058.pdf;Cielo S.A.;01027058000191;KPMG Auditores Independentes;Sem Ressalva;Não;Não;92087236;12905355;486679;11497064;56764193;5534428;4033535;19049;726198;179636;1851932;10096586;26927;0;1962389;1169156;0.2;0.14;0.04;1500893;0.13
2021-S2;2021;12;202112;01027058;202112-9010-01027058.pdf;Cielo S.A.;01027058000191;KPMG Auditores Independentes Ltda;Sem Ressalva;Não;Não;100422635;12985858;1158490;5340203;69530057;11685440;8287260;-74524;1509772;331216;1776659;9734557;24830;0;2158491;1283046;0.08;0.13;0.09;3398180;0.13
2022-S1;2022;6;202206;01027058;202206-9010-01027058.pdf;Cielo S.A.;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;104977733;20939073;956557;1756224;72923985;5302392;3313886;-182958;662157;82853;-3778101;9234092;765780;408088;2277614;1360406;0.02;0.2;0.05;1988506;0.13
2022-S2;2022;12;202212;01027058;202212-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;110231201;21122414;1872748;1882865;77835921;10693106;6268754;-384281;1350536;141665;-1421906;9071233;0;26656;2239392;1346699;0.02;0.19;0.09;4424352;0.13
2023-S1;2023;6;202306;01027058;202306-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;96062435;21869980;1350414;951896;64512622;5211895;2804840;-119986;721475;94270;-390223;8889754;812499;521563;326024;1169185;0.01;0.23;0.06;2407055;0.14
2023-S2;2023;12;202312;01027058;202312-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;108272400;22308302;2468163;1254164;75480752;10601105;5609449;-153051;1727494;164725;949891;8783377;921146;464250;326229;1111975;0.02;0.21;0.11;4991656;0.17
2024-S1;2024;6;202406;01027058;202406-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;100504481;20297030;1038620;1039298;74078911;5042341;2848527;123752;907165;116505;7356823;8639981;898017;468834;315409;1272800;0.01;0.2;0.05;2193814;0.18
2024-S2;2024;12;202412;01027058;202412-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Não;Não;113300378;17211373;1769543;1361042;81662759;11613024;5888284;306469;1960713;184736;4679898;8472054;1038744;496125;315031;1208611;0.02;0.15;0.1;5724740;0.16
2025-S1;2025;6;202506;01027058;202506-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;109804740;13345099;812352;1553778;80277182;5306727;3177865;219965;1148698;66350;3026206;8286402;991220;590409;140631;1108985;0.02;0.12;0.06;2128862;0.21
2025-S2;2025;12;202512;01027058;202512-9010-01027058.pdf;Cielo S.A. - Instituição de Pagamento;01027058000191;KPMG Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;121475909;11107831;1888055;917467;87203682;6074858;3451577;603627;2283738;58763;-7153309;702385;24596;8175152;120115;912326;0.01;0.09;0.17;2623281;0.34
